date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:22:56	39598/39598	---MCZ	200	added ('OK')	text/html	etag:W/%225cd00936-9aae%22	http://www.urbanui.com/libertyui/index.html	www.urbanui.com/libertyui/index.html	(from )
00:22:56	69/69	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Thu,%2007%20Nov%202019%2017:22:55%20GMT	http://www.urbanui.com/robots.txt		(from )
00:22:57	90082/90082	---MCZ	200	added ('OK')	text/css	etag:W/%225af55626-15fe2%22	http://www.urbanui.com/libertyui/vendors/iconfonts/mdi/css/materialdesignicons.min.css	www.urbanui.com/libertyui/vendors/iconfonts/mdi/css/materialdesignicons.min.css	(from http://www.urbanui.com/libertyui/index.html)
00:22:57	2444/2444	---MCZ	200	added ('OK')	text/css	etag:W/%225af55626-98c%22	http://www.urbanui.com/libertyui/vendors/css/vendor.bundle.base.css	www.urbanui.com/libertyui/vendors/css/vendor.bundle.base.css	(from http://www.urbanui.com/libertyui/index.html)
00:23:04	1460/1460	---M--	200	added ('OK')	image/png	etag:%225af55626-5b4%22	http://www.urbanui.com/libertyui/images/favicon.png	www.urbanui.com/libertyui/images/favicon.png	(from http://www.urbanui.com/libertyui/index.html)
00:23:06	322566/322566	---MCZ	200	added ('OK')	text/css	etag:W/%225af55626-4ec06%22	http://www.urbanui.com/libertyui/vendors/css/vendor.bundle.addons.css	www.urbanui.com/libertyui/vendors/css/vendor.bundle.addons.css	(from http://www.urbanui.com/libertyui/index.html)
00:23:06	5510/5510	---M--	200	added ('OK')	image/svg+xml	etag:%225af55626-1586%22	http://www.urbanui.com/libertyui/images/logo-inverse.svg	www.urbanui.com/libertyui/images/logo-inverse.svg	(from http://www.urbanui.com/libertyui/index.html)
00:23:08	917634/917634	---MCZ	200	added ('OK')	text/css	etag:W/%225bf38b45-e0082%22	http://www.urbanui.com/libertyui/css/style.css	www.urbanui.com/libertyui/css/style.css	(from http://www.urbanui.com/libertyui/index.html)
00:23:08	10932/10932	---M--	200	added ('OK')	image/jpeg	etag:%225af55626-2ab4%22	http://www.urbanui.com/libertyui/images/faces/face1.jpg	www.urbanui.com/libertyui/images/faces/face1.jpg	(from http://www.urbanui.com/libertyui/index.html)
00:23:09	47861/47861	---MCZ	200	added ('OK')	text/html	etag:W/%225cd00936-baf5%22	http://www.urbanui.com/libertyui/pages/ui-features/accordions.html	www.urbanui.com/libertyui/pages/ui-features/accordions.html	(from http://www.urbanui.com/libertyui/index.html)
00:23:10	45468/45468	---MCZ	200	added ('OK')	text/html	etag:W/%225cd00936-b19c%22	http://www.urbanui.com/libertyui/pages/ui-features/buttons.html	www.urbanui.com/libertyui/pages/ui-features/buttons.html	(from http://www.urbanui.com/libertyui/index.html)
00:23:11	32753/32753	---MCZ	200	added ('OK')	text/html	etag:W/%225cd00936-7ff1%22	http://www.urbanui.com/libertyui/pages/ui-features/badges.html	www.urbanui.com/libertyui/pages/ui-features/badges.html	(from http://www.urbanui.com/libertyui/index.html)
00:23:13	32930/32930	---MCZ	200	added ('OK')	text/html	etag:W/%225cd00936-80a2%22	http://www.urbanui.com/libertyui/pages/ui-features/breadcrumbs.html	www.urbanui.com/libertyui/pages/ui-features/breadcrumbs.html	(from http://www.urbanui.com/libertyui/index.html)
